iter	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnkDCVGC(1)	M_lnkDCVCC(1)	M_lnkElimDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkDCVG(1)	M_lnISkDCVC(1)	M_lnISkNDCVC(1)	V_lnkDCVGC(1)	V_lnkDCVCC(1)	V_lnkElimDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkDCVG(1)	V_lnISkDCVC(1)	V_lnISkNDCVC(1)	lnkDCVGC(1.1.1)	lnkDCVCC(1.1.1)	lnkElimDCVCC(1.1.1)	lnkElimNDCVCC(1.1.1)	lnISkDCVG(1.1.1.1)	lnISkDCVC(1.1.1.1)	lnISkNDCVC(1.1.1.1)	lnISkDCVG(1.1.1.2)	lnISkDCVC(1.1.1.2)	lnISkNDCVC(1.1.1.2)	lnISkDCVG(1.1.1.3)	lnISkDCVC(1.1.1.3)	lnISkNDCVC(1.1.1.3)	lnISkDCVG(1.1.1.4)	lnISkDCVC(1.1.1.4)	lnISkNDCVC(1.1.1.4)	lnISkDCVG(1.1.1.5)	lnISkDCVC(1.1.1.5)	lnISkNDCVC(1.1.1.5)	lnISkDCVG(1.1.1.6)	lnISkDCVC(1.1.1.6)	lnISkNDCVC(1.1.1.6)	lnISkDCVG(1.1.1.7)	lnISkDCVC(1.1.1.7)	lnISkNDCVC(1.1.1.7)	lnISkDCVG(1.1.1.8)	lnISkDCVC(1.1.1.8)	lnISkNDCVC(1.1.1.8)	LnPrior	LnData	LnPosterior
1000	0.501159	0.880503	0.920842	0.891831	0.428069	0.864549	0.795457	0.285193	0.409547	0.5869	0.912414	2.38806	-1.62578	-2.87997	-0.515822	3.76893	-1.218	2.7048	0.288974	0.550931	0.281299	0.357604	1.61532	2.1534	4.0264	2.28126	-1.86628	-2.3869	-0.583485	3.85596	-1.47063	2.17033	3.48449	-1.40146	1.62442	3.00745	-0.911744	2.02333	3.35801	-0.603562	2.2854	2.78943	-0.331004	3.84785	2.93658	-1.49028	0.503855	3.33973	-1.32383	1.88514	3.89785	-1.01157	-0.169638	-6.391286e+001	-6.133432e+002	-6.772561e+002
1050	0.4967	0.917643	0.995927	1.09376	0.459513	0.706167	0.695461	0.292108	0.417827	0.793377	0.814097	0.873032	-1.83146	-2.91992	-1.09615	4.58913	-1.49032	3.88578	0.326278	0.215061	0.325169	0.261196	1.51459	0.649843	4.63065	2.01227	-1.56159	-1.96817	-1.27876	4.28127	-1.31221	3.26098	4.5437	-1.85778	1.93122	3.25457	-1.38936	2.21283	3.66325	-1.57594	-1.73197	3.31974	-2.05418	3.50481	3.49756	-1.79697	2.0442	3.85052	-1.63119	0.725886	4.27497	-1.37809	1.39484	-6.211465e+001	-6.138847e+002	-6.759994e+002
1100	0.379146	0.878408	1.18938	1.05987	0.389903	0.859046	0.811316	0.43618	0.437874	0.665848	0.691293	2.01349	-1.6669	-3.09406	-1.17538	4.53787	-1.51088	3.02848	0.129051	0.15481	0.160336	0.101457	1.18109	0.669926	1.51635	1.92406	-1.72503	-2.96067	-1.38566	4.4698	-1.18399	3.59779	3.72326	-1.7073	2.31649	3.65071	-0.803555	2.61763	3.68926	-1.19462	2.82697	3.76698	-1.89793	3.22465	4.09677	-1.29837	2.16181	4.10834	-1.34099	3.85668	4.03246	-1.55815	3.12511	-4.350048e+001	-6.151223e+002	-6.586227e+002
1150	0.476076	0.957411	0.971811	0.934136	0.548095	0.7427	0.83157	0.642176	0.552337	0.576053	0.760279	2.41754	-1.30106	-2.01674	-2.65553	4.19869	-1.82358	3.09349	0.331755	0.0709175	0.0622374	0.140237	2.24788	0.827428	1.06038	2.04912	-1.08864	-2.06867	-2.55096	4.03827	-1.90326	4.20018	3.58661	-2.31685	3.60363	3.41045	-1.79386	3.48486	3.76587	-0.827698	1.4319	3.17144	-2.19627	3.62142	3.59639	-1.69295	2.91677	3.98687	-1.6917	3.48247	3.59801	-1.06984	4.39209	-5.091361e+001	-6.168947e+002	-6.678083e+002
1200	0.73504	0.996355	0.830375	0.942322	0.517943	0.888392	0.791508	0.556366	0.378731	0.763385	0.643683	1.65338	-0.472474	-1.89917	-1.56812	4.36839	-4.32017	4.53564	0.0991721	0.123719	0.120576	0.13622	1.85467	4.06405	1.97919	1.8829	-0.74093	-2.16627	-2.04472	2.43744	-2.88942	3.59233	3.59001	-3.03895	2.78685	3.06266	-1.27327	3.9283	3.59706	-2.00794	3.46239	3.82498	-2.80423	4.26492	3.78658	-2.15499	4.10952	4.45542	-2.06879	1.99597	4.59093	-1.88287	3.9984	-5.282808e+001	-6.184062e+002	-6.712342e+002
1250	0.618138	0.883324	1.00958	0.90294	0.517258	0.773093	0.776414	0.439479	0.440825	0.519926	0.729404	1.72277	-0.451208	-0.726539	-1.73352	4.49726	-3.18974	3.97565	0.327886	0.185623	0.391342	0.46833	0.415541	2.07045	2.0376	1.55814	-0.352874	-1.58394	-2.53842	3.98516	-3.0716	3.41857	4.21592	-3.28604	3.36856	3.87064	-2.08948	3.70319	3.7016	-2.98745	3.3356	3.56225	-3.59347	1.89395	4.26892	-2.54347	3.11512	4.50556	-2.18936	3.8861	4.37283	-3.16578	2.38684	-5.701534e+001	-6.132551e+002	-6.702704e+002
1300	0.355874	0.911214	0.802702	0.961836	0.469237	0.890617	0.617661	0.323946	0.395859	0.459905	0.696922	1.89722	-0.962026	-1.81421	-2.34231	3.788	-1.9137	2.83473	0.198692	0.184074	0.141345	0.203148	0.877527	1.10847	1.65304	2.00417	-0.917995	-1.9335	-1.95478	3.49152	-2.05505	3.93371	3.72101	-2.98674	1.99783	3.11756	-1.63005	3.42583	3.68144	-0.912082	4.0369	3.03237	-2.72857	3.95542	3.36172	-2.03759	2.00598	4.07105	-1.5734	1.91044	4.16588	-2.50277	2.93871	-4.955292e+001	-6.128027e+002	-6.623556e+002
1350	0.479166	1.03026	0.872445	0.950043	0.665074	0.764519	1.09865	0.399306	0.379498	0.534602	0.658497	2.32817	-1.08981	-1.03708	-1.96938	3.35638	-1.81738	3.31032	0.12193	0.145055	0.0903762	0.154777	1.19592	0.534625	0.96661	2.38545	-1.23584	-1.3781	-2.08491	3.18379	-1.4299	3.62967	3.34014	-2.06123	2.84776	2.86453	-1.81048	1.82213	3.25088	-1.26015	2.88867	3.16074	-2.3297	3.60508	3.37264	-1.89429	2.08256	3.41242	-1.94509	3.44273	3.24084	-2.42232	2.74661	-4.752605e+001	-6.238347e+002	-6.713607e+002
1400	0.516195	1.01779	0.98576	1.03652	0.441073	0.837202	0.907938	0.283377	0.265851	0.660768	0.607045	2.22625	-0.544154	-2.40822	-1.69948	4.35322	-2.21101	3.92133	0.0657055	0.304585	0.133832	0.116974	1.37902	1.30606	1.3606	1.71472	-0.951006	-2.28316	-1.62746	3.29444	-2.22309	3.5224	3.64799	-2.1367	2.70105	4.33193	-1.7706	2.67673	3.84818	-0.830483	3.09497	3.16141	-2.56395	4.05343	4.22229	-2.36304	2.36864	3.62304	-1.3586	4.1741	4.22211	-2.21748	2.74329	-4.875786e+001	-6.173045e+002	-6.660624e+002
1450	0.582443	0.974475	0.96513	1.14122	0.442659	0.836746	0.723607	0.329813	0.344224	0.625013	0.634776	2.04104	-0.534873	-2.15558	-2.75141	3.70138	-3.44563	3.5574	0.169368	0.0930173	0.620468	0.177062	2.11283	1.14512	0.906805	2.29634	-0.549747	-2.02234	-2.49231	4.31573	-2.82587	4.53008	3.55844	-2.65992	3.2048	2.12864	-1.71132	3.8537	3.04719	-2.59367	4.35364	2.91899	-3.40626	3.82544	3.75439	-2.84254	2.831	3.25522	-1.77138	3.63359	4.09544	-3.05159	3.82598	-5.324783e+001	-6.184818e+002	-6.717297e+002
