iter	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkNDCVC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkNDCVC(1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkNDCVC(1.1)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkNDCVC(1.2)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkNDCVC(1.3)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkNDCVC(1.4)	LnPrior	LnData	LnPosterior
2400	1.05103	1.11439	0.593806	0.852854	0.644395	1.04071	0.748754	0.634635	0.442873	1.05743	0.452664	-2.437	1.02977	-0.678064	0.0842958	0.100116	1.1519	-2.68052	1.3225	0.375461	-2.25136	1.02759	0.243397	-2.58322	1.10316	0.961765	-2.26565	1.19731	-0.660641	-1.933867e+01	-3.412588e+02	-3.605975e+02
2500	1.17419	1.13699	0.696441	0.891451	0.497029	0.796656	0.589757	0.287221	0.63191	1.24847	0.588791	-1.59304	1.10625	0.501946	0.145692	0.0655991	1.09613	-2.23243	0.785379	1.40763	-2.24016	1.17798	0.558629	-2.18362	1.22301	1.21402	-2.07678	0.811321	-0.923168	-2.408770e+01	-3.444802e+02	-3.685679e+02
2600	1.04317	0.972707	0.656329	0.665324	0.645566	0.73128	0.725902	0.527895	0.301879	0.677857	0.513072	-1.97359	1.61081	2.01592	0.0731488	0.122587	2.71536	-2.14173	1.52099	0.695259	-1.76202	1.5931	-0.287811	-2.27271	1.3654	1.18604	-1.61102	1.35605	-0.0919999	-2.118054e+01	-3.373305e+02	-3.585111e+02
2700	1.07793	1.00342	0.823266	1.01207	0.538017	0.895882	0.656421	0.202394	0.395761	0.873281	0.4468	-2.47397	1.24812	0.523912	0.408171	0.0896802	0.89581	-2.11667	1.08402	1.00015	-1.51804	0.707225	1.4463	-2.7247	1.21061	0.307786	-2.95642	1.33783	0.688128	-2.352612e+01	-3.385579e+02	-3.620841e+02
2800	1.14655	1.11811	0.745777	0.649239	0.730047	0.768001	0.587317	0.269317	0.416993	0.603657	0.638956	-1.96941	-0.618422	3.62025	0.109473	0.218431	2.08854	-2.32756	-1.07959	2.88924	-1.53915	-0.66142	2.63468	-2.29727	-0.259757	2.34697	-1.46892	-0.0941689	1.64122	-2.348963e+01	-3.378583e+02	-3.613479e+02
2900	0.991338	0.987244	0.6977	0.801971	0.779764	0.794694	0.503851	0.27279	0.608195	1.06664	0.627173	-1.36362	-0.524681	3.14456	0.191478	0.141581	0.997822	-2.18558	-0.503939	2.56122	-1.43638	0.00449584	2.03911	-1.00303	-0.346921	3.49468	-0.99884	-0.178472	2.1116	-2.324662e+01	-3.413483e+02	-3.645949e+02
3000	1.08468	0.96367	0.632702	0.653306	0.565624	0.937131	0.539794	0.423745	0.461974	0.74447	0.661518	-2.7468	-2.37495	4.00285	0.0610246	0.183805	1.40509	-2.98642	-2.55662	0.761186	-2.37446	-2.2598	3.14182	-2.69859	-1.61729	3.52939	-2.61816	-2.76627	4.34139	-2.293286e+01	-3.454175e+02	-3.683503e+02
3100	1.04593	1.12616	0.685937	0.543355	0.582167	0.881905	0.89664	0.438674	0.537348	0.795733	0.792467	-2.22847	-0.787002	1.65834	0.314537	0.0632991	1.90331	-2.72987	-0.554122	2.07593	-1.54514	-1.25108	2.9321	-3.26024	-0.944142	2.50839	-1.56772	-1.19542	2.40201	-2.802352e+01	-3.365404e+02	-3.645639e+02
3200	1.03704	1.22088	0.753789	0.639156	0.578211	0.871934	0.68928	0.567792	0.504209	0.732299	0.517051	-2.2783	-0.152588	1.96378	0.132561	0.233256	2.70837	-2.39253	0.171069	1.60972	-1.96205	-0.514949	1.97277	-1.86739	-1.70562	3.94927	-2.27649	0.210915	0.694918	-2.884040e+01	-3.395684e+02	-3.684088e+02
3300	0.894452	1.14846	0.575044	0.687227	0.614763	0.729765	0.776286	0.286694	0.56701	0.833005	0.451482	-2.46913	-1.00138	1.87626	0.308818	0.0569565	2.72932	-2.40562	-0.409402	2.46162	-1.9007	-1.30905	2.35532	-2.8019	-1.18466	2.09476	-2.18156	-1.19905	0.825052	-2.538282e+01	-3.403617e+02	-3.657445e+02
