iter	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkNDCVC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkNDCVC(1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkNDCVC(1.1)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkNDCVC(1.2)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkNDCVC(1.3)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkNDCVC(1.4)	LnPrior	LnData	LnPosterior
2400	0.91832	1.21177	0.682988	0.842128	0.53901	0.747203	0.716573	0.480307	0.69417	0.867888	0.499236	-1.98356	-1.95301	4.27924	0.253683	0.0773411	0.946161	-2.35383	-1.93717	3.54603	-2.03887	-1.87018	3.54006	-2.88068	-1.81565	3.52847	-2.31968	-2.28559	4.53173	-2.027838e+01	-3.399280e+02	-3.602064e+02
2500	1.018	1.05793	0.670824	0.679071	0.476557	0.737895	0.584064	0.507735	0.496943	0.727049	0.798647	-2.2629	-2.01409	2.37572	0.25411	0.0672148	0.976835	-2.6448	-2.39489	3.10718	-1.23726	-1.57698	3.19271	-2.914	-1.94232	0.710918	-2.13587	-2.07677	1.13773	-2.609527e+01	-3.384704e+02	-3.645657e+02
2600	0.981572	1.08908	0.589176	0.578534	0.676	0.906411	0.699603	0.533436	0.506791	0.90889	0.425202	-2.3611	-2.0628	3.8256	0.147764	0.23987	1.98751	-2.34875	-1.85651	4.0379	-2.42304	-1.85384	3.31999	-2.49127	-1.35787	4.17937	-2.3659	-2.62916	2.9513	-2.101638e+01	-3.395516e+02	-3.605680e+02
2700	1.06615	0.993891	0.603366	0.746845	0.683804	0.791343	0.864948	0.455867	0.289031	0.868851	0.54475	-2.03498	-1.3731	3.96824	0.214552	0.123553	3.97736	-2.25463	-1.65311	3.69802	-0.949603	-1.22888	3.81979	-2.27806	-1.48772	4.24498	-1.88613	-1.40301	2.49155	-2.332423e+01	-3.353802e+02	-3.587044e+02
2800	0.976088	1.22882	0.570449	0.757213	0.594365	0.66459	1.15187	0.295771	0.689575	0.838362	0.564652	-2.13793	-1.85656	4.2418	0.423389	0.0632041	2.5008	-2.53115	-1.87784	3.68034	-1.67913	-1.72194	3.83345	-2.29237	-1.91218	4.29378	-1.90079	-2.00765	2.56941	-2.137343e+01	-3.412744e+02	-3.626478e+02
2900	1.06048	1.0169	0.636062	0.953577	0.616719	0.805905	1.03516	0.51673	0.531674	0.779823	0.332364	-3.04866	-2.6121	3.68392	0.198741	0.0636983	3.60684	-3.15215	-2.55729	3.75545	-2.30206	-2.6414	4.18053	-2.76761	-2.21063	4.07714	-2.53071	-2.79538	3.32671	-2.260134e+01	-3.429920e+02	-3.655933e+02
3000	0.91642	1.03299	0.719809	0.885866	0.563311	0.762839	1.02797	0.353198	0.530838	0.550892	0.456229	-1.82234	-1.85628	4.60199	0.174136	0.0495795	1.30882	-2.37908	-2.152	3.20791	-1.12987	-1.76394	3.95282	-2.67834	-2.04819	4.18677	-1.28023	-1.61229	2.48292	-2.332295e+01	-3.420058e+02	-3.653287e+02
3100	0.989187	1.06717	0.63918	0.725247	0.585394	0.827534	0.927745	0.480109	0.389038	0.831002	0.62843	-1.43795	-0.540652	3.27428	0.162043	0.0607136	1.51405	-1.70667	-0.115484	2.26023	-0.942704	-0.963712	3.36179	-1.96888	-0.611809	3.48179	-1.59348	-0.383487	2.94753	-2.161500e+01	-3.359168e+02	-3.575318e+02
3200	1.01133	1.00544	0.576794	0.727125	0.557481	0.875637	0.732441	0.38648	0.336505	0.679809	0.539902	-1.54153	-1.06002	3.12604	0.103037	0.10396	2.54032	-1.94795	-1.22377	3.26573	-1.66626	-1.05958	2.84329	-1.78096	-0.363602	3.57887	-1.49368	-0.485919	0.319553	-2.245073e+01	-3.345365e+02	-3.569872e+02
3300	1.06475	1.0476	0.642824	0.648848	0.449082	0.767788	0.557855	0.76733	0.348245	0.725904	0.448706	-2.29663	-0.56755	2.89386	0.0630849	0.115007	3.88466	-2.4219	-0.502538	2.41373	-1.44596	-0.341724	2.30528	-2.04688	-0.481605	3.31913	-2.32334	-0.826228	2.73326	-2.377591e+01	-3.409160e+02	-3.646920e+02
