iter	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnkDCVGC(1)	M_lnkDCVCC(1)	M_lnkElimDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkDCVG(1)	M_lnISkDCVC(1)	M_lnISkNDCVC(1)	V_lnkDCVGC(1)	V_lnkDCVCC(1)	V_lnkElimDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkDCVG(1)	V_lnISkDCVC(1)	V_lnISkNDCVC(1)	lnkDCVGC(1.1.1)	lnkDCVCC(1.1.1)	lnkElimDCVCC(1.1.1)	lnkElimNDCVCC(1.1.1)	lnISkDCVG(1.1.1.1)	lnISkDCVC(1.1.1.1)	lnISkNDCVC(1.1.1.1)	lnISkDCVG(1.1.1.2)	lnISkDCVC(1.1.1.2)	lnISkNDCVC(1.1.1.2)	lnISkDCVG(1.1.1.3)	lnISkDCVC(1.1.1.3)	lnISkNDCVC(1.1.1.3)	lnISkDCVG(1.1.1.4)	lnISkDCVC(1.1.1.4)	lnISkNDCVC(1.1.1.4)	lnISkDCVG(1.1.1.5)	lnISkDCVC(1.1.1.5)	lnISkNDCVC(1.1.1.5)	lnISkDCVG(1.1.1.6)	lnISkDCVC(1.1.1.6)	lnISkNDCVC(1.1.1.6)	lnISkDCVG(1.1.1.7)	lnISkDCVC(1.1.1.7)	lnISkNDCVC(1.1.1.7)	lnISkDCVG(1.1.1.8)	lnISkDCVC(1.1.1.8)	lnISkNDCVC(1.1.1.8)	LnPrior	LnData	LnPosterior
1200	1.51306	1.58467	1.43969	1.45365	0.717642	0.689197	0.0112942	0.668592	0.462542	0.737599	1.24798	-5.14149	-5.97308	-1.20658	-5.75378	1.25078	4.31369	3.58665	0.308039	0.28816	0.0907217	0.0530647	0.836566	0.659434	2.10788	-5.12334	-5.16551	-1.34305	-5.65335	0.772513	3.30907	2.73671	0.761756	4.23774	4.21577	1.89061	4.40496	3.86689	0.0579484	3.50667	3.89777	0.524181	3.47107	4.16645	1.05487	4.08183	2.4003	2.07833	3.88842	2.26823	1.05792	3.92492	3.46865	-5.059287e+001	-7.318396e+002	-7.824324e+002
1250	1.4641	1.52614	1.46747	1.55172	0.764885	0.845427	0.0101179	0.911598	0.523839	0.825788	1.21405	-5.1982	-4.72214	-1.27811	-5.8169	0.237813	4.42209	-0.792234	0.328352	0.0796128	0.122752	0.0777526	1.2662	1.18223	8.18827	-5.14008	-5.13665	-1.42188	-6.09443	0.644927	3.31438	-2.17996	0.707704	3.99188	3.58904	1.3205	4.19597	1.92967	0.24163	3.69138	-3.4096	0.248856	3.42524	-3.6556	1.09304	4.27094	1.17873	1.7754	3.83747	-1.0357	1.39343	4.06931	-0.246535	-6.112647e+001	-7.346924e+002	-7.958189e+002
1300	1.4098	1.48498	1.30714	1.47321	0.797706	0.599652	0.0101179	0.393725	0.743085	0.894346	1.17029	-5.2633	-5.84698	-1.06485	-7.48978	0.709803	4.48486	-0.302287	0.0694888	0.303277	0.0827351	0.3153	1.17644	1.34046	1.96092	-5.05019	-5.48697	-1.38011	-7.03784	1.07342	3.58555	-0.0986637	0.979695	4.25861	0.627925	1.66307	4.38203	-0.841222	-0.204991	3.46232	-0.661481	0.361704	3.46233	-1.31803	1.41591	4.40516	-2.01737	1.5713	3.79685	1.7357	1.45103	4.2684	2.97423	-5.550417e+001	-7.398464e+002	-7.953506e+002
1350	1.52661	1.56917	1.41542	1.51391	0.654827	0.669856	0.0101179	0.261598	0.489306	0.86533	1.11505	-4.91477	-6.02133	-1.40661	-7.41165	0.734882	4.55872	2.67827	0.124323	0.0934077	0.0837109	0.334398	1.82001	0.735464	2.16902	-4.99246	-5.44422	-1.48938	-7.80303	0.568085	3.41995	1.99482	1.00475	4.28678	3.50655	1.2627	4.34173	3.35455	-0.134675	3.71277	-1.01826	0.0362522	3.50316	3.24975	0.478885	4.09543	4.05186	1.38958	3.83936	2.09089	1.46238	4.3909	4.46069	-5.358724e+001	-7.346298e+002	-7.882170e+002
1400	1.54463	1.55842	1.50854	1.47547	0.700893	0.584551	0.0101179	0.414161	0.618546	0.849366	1.29045	-4.45251	-5.69875	-1.06991	-8.18125	1.3037	4.05666	2.47257	0.565082	0.125501	0.216287	0.10633	4.43168	0.958494	2.8331	-5.02055	-5.22192	-1.39925	-8.08007	0.665699	3.3929	2.35108	0.608939	4.03391	4.33515	1.31969	4.14471	2.8799	1.18276	4.19238	0.57595	0.0824942	3.31863	4.20708	1.22154	4.32069	2.58583	1.21737	3.66419	-0.664671	2.14526	4.51403	0.147162	-6.257016e+001	-7.301953e+002	-7.927654e+002
1450	1.49602	1.57669	1.48628	1.64713	0.559949	0.589777	0.0101179	0.443097	0.702293	0.728016	1.13288	-4.78284	-4.97972	-1.38732	-7.9474	0.519174	4.54799	3.05549	0.365687	0.127067	0.156907	0.14148	2.03497	1.39103	1.14913	-5.04379	-5.09245	-1.41802	-8.3766	0.66827	3.36626	2.62896	0.939761	4.29779	4.51526	1.41259	4.25269	0.845163	0.185201	3.67504	4.28093	0.136408	3.43659	3.75017	0.710427	4.12163	3.43592	1.48531	3.70381	3.30662	1.62982	4.26057	1.95553	-5.250866e+001	-7.339464e+002	-7.864550e+002
1500	1.54305	1.59219	1.40945	1.52963	0.575838	0.649506	0.0101179	0.457231	0.562843	0.83553	1.24411	-5.01016	-5.38867	-0.902883	-8.27704	0.953429	3.85676	3.83738	0.0761065	0.214778	0.106753	0.122819	0.49625	1.3691	2.99571	-5.02311	-5.15216	-1.31337	-7.82503	0.493571	3.16545	3.76381	0.900463	4.0664	2.49275	1.67264	4.29181	4.30652	1.33027	4.19679	4.24515	0.390421	3.54141	4.53825	1.89822	4.54376	0.463808	1.16243	3.50643	2.52602	1.08003	3.98139	1.20314	-5.245385e+001	-7.266989e+002	-7.791527e+002
1550	1.45818	1.50554	1.43488	1.54125	0.565455	0.646386	0.0113813	0.874087	0.612667	0.74947	1.13834	-5.00653	-5.05891	-1.39537	-8.70248	3.18368	4.41176	3.37548	0.182202	0.202623	0.312484	0.426279	4.78604	0.942308	1.71255	-4.88629	-5.35597	-1.19839	-8.75127	0.516598	3.18381	2.897	1.36905	3.86304	2.15661	1.85905	4.28968	4.01713	1.98425	4.50768	2.92906	0.856239	3.64419	4.26809	0.869482	4.13261	2.47433	1.4926	3.56604	3.13227	1.09072	3.94028	3.23686	-5.768000e+001	-7.328725e+002	-7.905525e+002
1600	1.59222	1.56157	1.43388	1.39784	0.513814	0.664214	0.0113813	0.784345	0.543578	0.917124	1.21566	-4.28903	-5.93177	-1.59106	-7.75122	1.18316	4.57262	3.97667	0.111466	0.091409	0.462544	0.12403	0.954646	1.33223	1.54599	-4.50709	-5.74702	-0.982458	-7.6263	0.314495	3.08198	3.94363	0.615824	3.76809	4.33458	1.5075	4.11324	2.90235	2.44565	4.55689	2.93401	0.588205	3.52684	4.01699	1.15282	4.06025	2.58273	1.67324	3.71038	4.12529	0.867071	3.877	4.07931	-4.698009e+001	-7.315595e+002	-7.785396e+002
1650	1.53799	1.58997	1.35131	1.53072	0.488302	0.76726	0.0113813	0.450968	0.491844	0.818971	1.09145	-4.03624	-5.95871	-0.908811	-4.54284	0.919365	3.73404	4.05183	0.171568	0.124026	0.285666	0.241607	1.56991	0.690305	5.06134	-4.29143	-5.79452	-0.801583	-4.64872	0.467187	3.053	2.14316	0.360993	3.28832	2.76861	1.57388	4.05784	2.52269	2.0322	4.3293	3.16202	0.305276	3.42709	4.17374	1.57398	4.11358	4.49613	2.0934	3.87108	3.71921	1.28299	3.82125	4.38757	-5.393585e+001	-7.324365e+002	-7.863723e+002
