iter	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnkDCVGC(1)	M_lnkDCVCC(1)	M_lnkElimDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkDCVG(1)	M_lnISkDCVC(1)	M_lnISkNDCVC(1)	V_lnkDCVGC(1)	V_lnkDCVCC(1)	V_lnkElimDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkDCVG(1)	V_lnISkDCVC(1)	V_lnISkNDCVC(1)	lnkDCVGC(1.1)	lnkDCVCC(1.1)	lnkElimDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkDCVG(1.1)	lnISkDCVC(1.1)	lnISkNDCVC(1.1)	lnkDCVGC(1.2)	lnkDCVCC(1.2)	lnkElimDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkDCVG(1.2)	lnISkDCVC(1.2)	lnISkNDCVC(1.2)	lnkDCVGC(1.3)	lnkDCVCC(1.3)	lnkElimDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkDCVG(1.3)	lnISkDCVC(1.3)	lnISkNDCVC(1.3)	lnkDCVGC(1.4)	lnkDCVCC(1.4)	lnkElimDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkDCVG(1.4)	lnISkDCVC(1.4)	lnISkNDCVC(1.4)	LnPrior	LnData	LnPosterior
2000	0.923033	0.869896	0.816302	1.00826	0.635108	0.765875	0.457781	0.246734	0.322593	0.825355	0.334501	1.28034	-6.08411	-0.359923	-0.621606	2.23514	4.01277	3.25845	0.202213	0.314526	0.333981	0.303769	1.74561	1.81065	5.23517	1.64956	-6.58672	-0.0222207	-0.475223	2.941	3.55078	2.70615	1.94752	-6.53931	-0.0404125	-0.622116	3.06454	4.1793	2.50669	0.676317	-6.85687	-0.460653	-0.612366	4.06534	3.40971	2.90654	1.10537	-6.00752	0.0282133	0.272708	4.05572	4.15077	-1.28264	-5.618604e+01	-3.331051e+02	-3.892911e+02
2100	1.08604	1.03185	0.542361	0.808233	0.689735	0.965148	0.845588	0.691236	0.61813	0.864001	0.80025	1.97995	-5.0936	0.275344	0.534525	0.648477	1.09215	1.79617	0.501211	0.432348	0.111771	0.164147	2.56753	1.11369	0.923587	2.24594	-4.92096	-0.112453	0.0572668	1.03575	1.93989	1.13704	1.10885	-4.70892	-0.105065	0.655478	2.05963	2.45023	1.20792	2.43771	-5.041	0.159726	0.801031	1.57511	0.318048	1.37875	2.70787	-4.81074	-0.242857	1.01106	1.25761	2.09978	0.312392	-5.689613e+01	-3.408332e+02	-3.977293e+02
2200	0.897597	0.918873	0.578429	0.912226	0.438984	0.608245	0.651453	0.335042	0.551236	1.00524	0.528449	1.75356	-5.20967	0.746056	0.885916	3.21921	1.46103	0.486649	0.112638	0.0696836	0.290418	0.0910502	0.795882	1.61585	0.856937	2.11258	-5.44964	0.980315	0.532334	2.63031	2.06778	0.587654	1.50847	-5.69589	1.07252	0.657681	2.29917	3.16823	1.17695	1.6674	-4.97539	0.144778	0.321223	2.78041	0.904848	1.26433	1.06556	-5.25482	0.91697	0.708785	3.64979	2.55404	-1.24554	-4.711264e+01	-3.336813e+02	-3.807939e+02
2300	1.02898	0.979393	0.597953	1.0625	0.43479	0.808404	0.617024	0.327637	0.360942	0.949813	0.478669	2.51776	-5.06	0.518218	0.869892	1.02934	2.66543	0.184572	0.0942476	0.098844	0.153617	0.196253	3.46677	1.38801	2.10704	2.51357	-5.50053	0.292413	0.88966	2.20031	1.86912	1.03821	1.94253	-5.10105	0.0405166	1.36054	1.98054	2.98719	0.768833	2.44722	-4.90366	0.519797	0.677943	1.65118	0.715152	-1.35424	2.68383	-5.09497	1.71153	1.1265	2.52929	2.27337	-0.0281368	-4.934793e+01	-3.311708e+02	-3.805187e+02
2400	0.666097	0.906052	1.1325	1.29066	0.444346	0.763478	1.08349	0.400652	0.377872	0.949535	0.367963	2.29346	-4.87425	1.39916	2.06428	4.54497	3.15192	0.681518	0.175009	0.0691807	0.171504	0.225509	0.747979	1.28715	3.30525	2.16939	-5.38848	1.10761	2.26069	3.097	2.16449	0.0201733	2.44661	-4.98843	1.5292	2.30885	2.63305	2.54892	-0.517055	2.27829	-5.09309	0.928947	1.89881	2.96878	1.52742	0.455554	2.07852	-5.07724	1.30641	2.34346	4.41085	2.97003	-0.737517	-4.741809e+01	-3.327040e+02	-3.801221e+02
2500	1.23406	1.09653	0.465735	0.872429	0.768531	0.959745	0.802942	0.483708	0.6386	0.650438	0.604737	0.675161	-5.36429	1.62008	1.59989	2.5924	2.76272	-1.05377	0.115334	0.274177	0.104825	0.0351219	1.58905	1.26335	2.32443	1.05573	-6.50596	0.438798	1.46715	2.55969	2.30835	-0.991478	0.3699	-5.42819	1.34835	1.79773	2.91153	2.91029	-0.227519	0.109522	-5.52553	1.02058	1.73027	4.14706	1.7276	-0.786734	0.700879	-5.83972	1.64781	1.6483	4.24973	2.77266	-2.74249	-5.496188e+01	-3.399315e+02	-3.948934e+02
2600	0.975267	0.990653	0.663302	0.664207	0.494879	1.01899	0.610989	0.503868	0.662325	0.879249	0.825871	0.815379	-5.16393	1.34199	1.9429	3.27684	1.64455	-3.41065	0.0634094	0.800674	0.205281	0.137137	1.04892	7.3288	1.11098	0.842651	-5.80929	1.57454	2.15241	2.947	2.35839	-3.78971	0.612526	-5.55343	1.53293	3.01065	2.54306	2.97219	-2.39501	0.818699	-4.31272	0.775532	1.03255	3.24386	1.05327	-3.05426	0.985321	-5.04726	1.29353	2.20705	4.10131	4.17947	-2.10668	-5.859633e+01	-3.392823e+02	-3.978787e+02
2700	0.727978	0.789739	0.929933	1.02353	0.375914	1.10651	0.797557	0.214997	0.45226	1.05039	1.1124	3.33624	-4.84306	-0.363033	3.77742	3.89271	1.50846	-0.663137	0.421877	0.258977	0.112039	0.557321	3.90817	1.63871	2.10776	3.07429	-3.32461	-0.275971	3.41197	2.87882	0.0252631	-1.58074	2.12008	-4.14564	-0.509712	4.16085	2.60794	1.31874	-3.90744	3.37295	-4.22599	-0.512455	2.46526	1.1954	1.25096	-0.00184345	3.93926	-4.79198	-0.53718	2.91805	2.42261	1.19266	-2.18849	-6.507980e+01	-3.435600e+02	-4.086398e+02
2800	1.00251	1.01864	0.648957	0.806167	0.759379	0.632159	0.702306	0.406101	0.423487	0.87076	0.774167	4.57927	-3.90135	1.18145	3.04953	0.836947	1.26233	-1.92813	1.82971	0.100705	0.0857965	0.389979	1.12822	2.18193	2.35534	2.75672	-3.28146	0.977384	3.99704	1.29878	0.253366	-1.77311	3.21463	-4.52531	1.31586	4.30835	0.693751	2.15518	-3.18079	3.13823	-3.89905	0.841728	2.07261	1.13639	0.995481	0.853849	4.43871	-3.80235	1.1586	3.19012	0.658818	1.02258	-1.97767	-6.130132e+01	-3.315413e+02	-3.928426e+02
2900	0.868629	0.750808	1.02683	1.0014	0.518579	0.804054	0.711706	0.200026	0.78029	0.61996	0.380795	3.62579	-4.2784	0.906403	2.63837	2.23229	3.14182	-1.36241	0.10446	0.176653	0.352836	0.0916023	2.29074	8.7539	2.67411	3.79398	-4.17512	0.641311	2.23988	1.95716	0.669658	-0.407874	3.37198	-4.70028	0.719017	2.96946	1.72448	2.46236	-0.894588	3.55703	-4.02714	1.1589	2.9366	1.85781	0.772589	-0.512285	3.5764	-4.55729	0.523063	2.20906	3.0934	2.23586	-0.557422	-5.025765e+01	-3.342830e+02	-3.845406e+02
3000	0.77705	0.930455	0.750544	0.993625	0.510007	0.800982	0.567941	0.365433	0.376476	0.940878	0.475172	2.24761	-4.48584	0.895928	1.93168	2.73138	3.40591	0.59367	0.104912	0.284981	0.654798	0.297634	3.0504	3.29248	2.78467	2.10916	-4.20746	0.75839	1.40685	2.49783	1.32851	0.857961	2.21542	-4.91252	0.2268	1.96056	2.45872	2.88977	0.284375	2.47877	-4.34797	0.833514	1.61301	1.97872	2.12903	1.41334	2.36655	-5.01689	0.648342	1.40263	3.47124	2.65048	-1.26998	-5.439181e+01	-3.277836e+02	-3.821754e+02
3100	0.856173	0.78549	0.990331	0.915383	0.569407	0.750676	0.730263	0.368882	0.356675	0.820043	0.529213	1.8513	-4.09085	-0.180599	2.29347	4.35869	0.49265	-1.95975	0.0647835	0.127572	0.200693	0.230242	1.70274	2.37902	0.702818	1.35516	-3.97384	-1.15649	2.02668	3.90027	0.250224	-0.328494	1.54503	-4.23832	-0.100195	2.36415	2.89454	1.42757	-1.04994	1.86531	-3.80055	-0.215966	2.97841	3.85506	0.523397	-0.24238	1.65327	-4.07671	1.10875	2.37495	3.70362	1.76793	-1.20671	-5.242899e+01	-3.322519e+02	-3.846809e+02
3200	0.837059	0.984374	0.894049	0.890336	0.423574	0.76604	0.81123	0.174492	0.473735	1.06657	0.707587	1.79955	-4.09745	-1.32293	2.37912	2.78026	1.17715	-0.552449	0.161448	0.480503	0.0622548	0.101316	4.34297	2.36024	1.44167	1.6775	-3.65969	-1.57702	2.31919	3.22991	0.781904	-0.184402	1.74516	-3.53166	-1.25403	2.12017	2.86247	1.26119	0.140406	0.813077	-3.85337	-0.97789	2.56633	3.80128	-0.0656759	-0.423103	2.28843	-4.07234	-1.39699	2.28541	2.83307	0.981561	-1.32348	-4.871229e+01	-3.320309e+02	-3.807432e+02
3300	0.653468	0.870459	0.937253	1.09237	0.583142	0.964157	0.674981	0.318138	0.35903	0.917346	0.647639	3.15559	-4.26901	-1.3935	2.9748	2.01803	1.33558	-2.44916	0.30472	0.430492	0.089833	0.0994833	1.75448	2.96457	2.39521	3.44581	-4.15527	-1.53686	2.96929	1.94163	1.47979	-0.894606	3.39566	-3.96551	-0.967451	2.54152	1.55815	1.24527	-0.895137	2.95782	-4.85847	-1.73157	2.92131	2.90603	1.66432	-0.618861	3.36622	-4.21816	-1.18532	3.05742	3.48592	1.59501	-3.05491	-4.976865e+01	-3.324698e+02	-3.822385e+02
3400	1.00209	0.854093	0.843021	1.03964	0.472972	0.903697	0.470892	0.1571	0.401218	0.775372	0.574107	2.00535	-5.02319	-1.77664	3.96667	2.45207	1.20387	-2.23217	0.222616	0.10256	0.0825586	0.0985614	1.9846	2.12434	0.865845	2.48465	-4.70874	-1.93329	4.18194	2.2659	1.62487	-2.14139	2.3624	-5.42858	-1.93626	3.3288	2.34401	3.0386	-1.35482	2.32283	-4.59856	-1.42135	4.16844	2.37989	1.76237	-1.43526	2.1868	-4.74634	-1.55417	4.34677	3.61168	1.72094	-2.91362	-4.365795e+01	-3.330695e+02	-3.767275e+02
3500	0.680142	0.738288	0.813658	1.027	0.465045	0.685066	0.711714	0.30903	0.402292	0.700618	0.287217	0.563258	-6.06635	-2.64272	3.63588	3.81537	-0.366527	-2.10447	0.510628	0.0680202	0.127352	0.124051	2.57191	6.45052	3.6692	0.622027	-5.90472	-2.60475	3.55498	3.92242	2.68306	-1.42786	0.611649	-5.71754	-2.841	3.38856	3.98414	3.31978	-1.4209	1.27224	-6.00736	-2.35106	3.0856	2.89821	1.82275	-2.37105	1.25316	-6.04727	-2.26868	3.84533	4.54696	3.21066	-3.6889	-5.197743e+01	-3.302634e+02	-3.822408e+02
