Level	Simulation	Output_Var	Time	Data	Prediction
1_1_5	5	lnCPL_APAP_mcgL	2.5	7.7536	7.40829
1_1_5	5	lnCPL_APAP_mcgL	3	7.5909	7.25026
1_1_5	5	lnCPL_APAP_mcgL	4	7.3395	6.91534
1_1_5	5	lnCPL_APAP_mcgL	6	6.6758	6.22419
1_1_5	5	lnCPL_APAP_mcgL	8	6.1654	5.52833
1_1_5	5	lnCPL_APAP_mcgL	10	-1	4.83192

1_1_5	5	lnCPL_AG_mcgL	0.5	5.7038	6.09308
1_1_5	5	lnCPL_AG_mcgL	1	7.6639	7.16373
1_1_5	5	lnCPL_AG_mcgL	1.5	8.149	7.66141
1_1_5	5	lnCPL_AG_mcgL	2	8.3687	7.93605
1_1_5	5	lnCPL_AG_mcgL	2.5	8.468	8.09344
1_1_5	5	lnCPL_AG_mcgL	3	8.5192	8.17967
1_1_5	5	lnCPL_AG_mcgL	4	8.4338	8.22475
1_1_5	5	lnCPL_AG_mcgL	6	8.052	8.05456
1_1_5	5	lnCPL_AG_mcgL	8	7.5549	7.72034
1_1_5	5	lnCPL_AG_mcgL	10	7.1624	7.30366

1_1_5	5	lnCPL_AS_mcgL	0.5	6.5539	6.67118
1_1_5	5	lnCPL_AS_mcgL	1	7.3524	7.21088
1_1_5	5	lnCPL_AS_mcgL	1.5	7.7098	7.42624
1_1_5	5	lnCPL_AS_mcgL	2	7.7579	7.5177
1_1_5	5	lnCPL_AS_mcgL	2.5	7.7007	7.5436
1_1_5	5	lnCPL_AS_mcgL	3	7.5909	7.52888
1_1_5	5	lnCPL_AS_mcgL	4	7.4384	7.42386
1_1_5	5	lnCPL_AS_mcgL	6	6.9177	7.04861
1_1_5	5	lnCPL_AS_mcgL	8	6.4489	6.55971
1_1_5	5	lnCPL_AS_mcgL	10	6.1841	6.00931

1_1_5	5	lnCU_APAP_mcg	0	-1	-20

1_1_5	5	lnCU_AG_mcg	0	-1	-20

1_1_5	5	lnCU_AS_mcg	0	-1	-20


1_2_1	6	lnCPL_APAP_mcgL	0.5	9.9942	9.925
1_2_1	6	lnCPL_APAP_mcgL	1	9.8147	9.89963
1_2_1	6	lnCPL_APAP_mcgL	1.5	9.6291	9.78508
1_2_1	6	lnCPL_APAP_mcgL	2	9.488	9.64982
1_2_1	6	lnCPL_APAP_mcgL	3	9.2496	9.36486
1_2_1	6	lnCPL_APAP_mcgL	4	8.9708	9.07492
1_2_1	6	lnCPL_APAP_mcgL	5	8.6604	8.78288
